Timestamp,User,Exercise,Reps,Sets,Angle,Form_Correct
2025-08-27 13:28:49,Demo,Side Leg Raise,0,0,{'right_elbow': 174.52228554802224},True
2025-08-27 13:28:52,Demo,Side Leg Raise,0,0,{'right_elbow': 174.52228554802224},True
2025-08-27 14:39:18,Demo,Side Leg Raise,0,0,{},True
2025-08-27 14:58:30,Demo,Shoulder Press,0,0,{},True
2025-08-27 14:58:30,Demo,Shoulder Press,0,0,{},True
2025-08-27 14:58:30,Demo,Shoulder Press,0,0,{},True
2025-08-27 14:58:30,Demo,Shoulder Press,0,0,{},True
2025-08-27 14:58:30,Demo,Shoulder Press,0,0,{},True
2025-08-27 15:18:34,Demo,Shoulder Press,0,0,{},True
2025-08-27 15:18:35,Demo,Shoulder Press,0,0,{},True
