import time: self [us] | cumulative | imported package
import time:       122 |        122 | winreg
import time:       190 |        190 |   _io
import time:        41 |         41 |   marshal
import time:       127 |        127 |   nt
import time:       306 |        663 | _frozen_importlib_external
import time:       408 |        408 |   time
import time:       119 |        527 | zipimport
import time:        42 |         42 |     _codecs
import time:       270 |        311 |   codecs
import time:       992 |        992 |   encodings.aliases
import time:      1681 |       2984 | encodings
import time:       573 |        573 | encodings.utf_8
import time:        44 |         44 | _signal
import time:        23 |         23 |     _abc
import time:        99 |        121 |   abc
import time:       129 |        249 | io
import time:        54 |         54 |       _stat
import time:        89 |        142 |     stat
import time:       597 |        597 |     _collections_abc
import time:        27 |         27 |       genericpath
import time:        65 |         65 |       _winapi
import time:       391 |        483 |     ntpath
import time:       264 |       1485 |   os
import time:        57 |         57 |   _sitebuiltins
import time:       722 |        722 |   encodings.cp1252
import time:      1683 |       1683 |   _distutils_hack
import time:       641 |        641 |     pywin32_system32
import time:      1547 |       2187 |   pywin32_bootstrap
import time:       336 |        336 |   sitecustomize
import time:      2402 |       8870 | site
import time:       988 |        988 |     warnings
import time:      1277 |       2264 |   importlib
import time:      1073 |       1073 |         types
import time:        90 |         90 |           _operator
import time:      1217 |       1306 |         operator
import time:       122 |        122 |             itertools
import time:       706 |        706 |             keyword
import time:       761 |        761 |             reprlib
import time:        96 |         96 |             _collections
import time:      1216 |       2898 |           collections
import time:        57 |         57 |           _functools
import time:      1083 |       4037 |         functools
import time:      2650 |       9065 |       enum
import time:      1530 |       1530 |         numpy._utils._convertions
import time:      1330 |       2859 |       numpy._utils
import time:      1856 |      13779 |     numpy._globals
import time:      1921 |       1921 |     numpy.exceptions
import time:      1117 |       1117 |     numpy.version
import time:       191 |        191 |       numpy._distributor_init_local
import time:      1792 |       1982 |     numpy._distributor_init
import time:      1065 |       1065 |               numpy._utils._inspect
import time:       376 |        376 |                   math
import time:       511 |        511 |                   _datetime
import time:      2246 |       3132 |                 datetime
import time:      1311 |       1311 |                 numpy.core._exceptions
import time:       957 |        957 |                 numpy.dtypes
import time:     21382 |      26780 |               numpy.core._multiarray_umath
import time:      1619 |      29463 |             numpy.core.overrides
import time:      2516 |      31978 |           numpy.core.multiarray
import time:      1044 |       1044 |           numpy.core.umath
import time:      1077 |       1077 |             numbers
import time:       815 |        815 |             numpy.core._string_helpers
import time:       375 |        375 |                         posix
import time:        95 |        469 |                       posixpath
import time:        88 |         88 |                           _sre
import time:       767 |        767 |                             re._constants
import time:       694 |       1461 |                           re._parser
import time:       652 |        652 |                           re._casefix
import time:       932 |       3132 |                         re._compiler
import time:       560 |        560 |                         copyreg
import time:       958 |       4650 |                       re
import time:       868 |       5987 |                     fnmatch
import time:        68 |         68 |                     errno
import time:      1074 |       1074 |                       urllib
import time:      2319 |       2319 |                       ipaddress
import time:      1655 |       5047 |                     urllib.parse
import time:      1521 |      12621 |                   pathlib
import time:       493 |        493 |                   pickle5
import time:       257 |        257 |                       _struct
import time:       829 |       1086 |                     struct
import time:      1026 |       1026 |                     _compat_pickle
import time:       304 |        304 |                     _pickle
import time:       393 |        393 |                         org
import time:        16 |        409 |                       org.python
import time:        15 |        423 |                     org.python.core
import time:      1912 |       4749 |                   pickle
